PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
31389,SS SIMON AND JUDE CATHEDRAL SCHOOL,2,13,6351 N 27TH AVE,PHOENIX,4013,13,AZ,4,85017,6022421299,180,6.75,Yes,,27,42,38,47,43,55,43,51,65,49,,,,,460,433,2,40,237,10,140,0,4,28.9,11,1,1,1,1,1,0.46,9.23,54.73,2.3,32.33,0,0.92,14.98,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
31378,ST AGNES CATHOLIC SCHOOL,3,13,2311 E PALM LN,PHOENIX,4013,13,AZ,4,85006,6022440349,180,7.75,Yes,,,52,16,24,18,22,24,16,13,17,,,,,202,202,5,2,32,9,124,0,30,12.9,11,1,1,1,1,1,2.47,0.99,15.84,4.45,61.38,0,14.85,15.65,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A2100222,ST AMBROSE SCHOOL,2,13,300 S TUCSON BLVD,TUCSON,4019,19,AZ,4,85716,5208828678,180,7.75,No,,9,21,15,25,16,16,25,22,22,24,,,,,195,186,2,0,183,1,0,0,0,10.4,11,1,1,1,1,1,1.07,0,98.38,0.53,0,0,0,17.88,1,PIMA,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,,,,,,,,
A9500149,ST ANDREW'S PRESCHOOL & KINDERGARTEN,2,3,7650 N PASEO DEL NORTE,TUCSON,4019,19,AZ,4,85704,5207422969,175,5.5,Yes,,145,20,,,,,,,,,,,,,165,20,0,3,2,0,15,0,0,3.5,21,1,7,1,2,2,0,15,10,0,75,0,0,5.71,27,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
31108,ST ANTHONY OF PADUA CATHOLIC SCHOOL,2,13,501 E 2ND ST,CASA GRANDE,4021,21,AZ,4,85122,5207886227,180,7.25,Yes,,20,12,11,13,14,19,19,17,13,17,,,,,155,135,1,1,110,4,19,0,0,10.9,13,1,1,1,1,1,0.74,0.74,81.48,2.96,14.07,0,0,12.38,1,PINAL,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A0100595,ST ANTHONY OF PADUA SCHOOL,2,13,501 E 2ND ST,CASA GRANDE,4021,21,AZ,4,85122,5207886227,180,7.25,Yes,,20,12,11,13,14,19,19,17,13,17,,,,,155,135,1,1,110,4,19,0,0,10.9,13,1,1,1,1,1,0.74,0.74,81.48,2.96,14.07,0,0,12.38,1,PINAL,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A0700054,ST ANTHONY SCHOOL,2,13,PO BOX 789,SHOW LOW,4017,17,AZ,4,85902,9285374497,178,7,No,,19,18,16,16,18,14,15,16,12,11,,,,,155,136,25,1,29,1,71,0,9,10.5,33,1,1,1,1,3,18.38,0.73,21.32,0.73,52.2,0,6.61,12.95,1,NAVAJO,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A0700055,ST AUGUSTINE CATHOLIC HIGH SCHOOL,14,17,8800 E 22ND ST,TUCSON,4019,19,AZ,4,85710,5207518300,180,7,No,,,,,,,,,,,,57,77,63,61,258,258,5,0,154,5,54,0,40,21.9,11,1,1,2,1,1,1.93,0,59.68,1.93,20.93,0,15.5,11.78,1,PIMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
31367,ST CATHERINE OF SIENA CATHOLIC SCHOOL,2,13,6413 S CENTRAL AVE,PHOENIX,4013,13,AZ,4,85042,6022762241,180,7,No,,21,21,19,16,25,24,19,17,18,16,,,,,196,175,0,2,163,6,4,0,0,9,11,1,1,1,1,1,0,1.14,93.14,3.42,2.28,0,0,19.44,1,MARICOPA,Other religious school association(s),,,,,,,,,,,,,,
30884,ST CHARLES APACHE MISSION SCHOOL,3,11,PO BOX 339,SAN CARLOS,4007,7,AZ,4,85550,9284752449,183,8,No,,,21,17,23,19,17,16,13,,,,,,,126,126,126,0,0,0,0,0,0,10,33,1,1,1,1,3,100,0,0,0,0,0,0,12.6,1,GILA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,
