,PSS_SCHOOL_ID,PSS_INST,LOGRADE,HIGRADE,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15,FULL_ADDRESS,COORDINATE,DISTRICTS
241,31006,ST JOHN THE EVANGELIST CATHOLIC SCHOOL,3,13,600 W AJO WAY,TUCSON,4019,19,AZ,4,85713,5206243865,190.0,7.33,No,,,38.0,47.0,36.0,44.0,50.0,31.0,45.0,48.0,36.0,,,,,375.0,375.0,3.0,0.0,368.0,2.0,2.0,0.0,0.0,21.6,11,1,1,1,1,1,0.8,0.0,98.13,0.53,0.53,0.0,0.0,17.36,1,PIMA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"600 W AJO WAY,TUCSON,AZ",POINT (-110.9781974 32.1782387),['Tucson Unified District']
242,A9500150,ST JOHN VIANNEY CATHOLIC SCHOOL,2,13,539 E LA PASADA BLVD,GOODYEAR,4013,13,AZ,4,85338,6239322434,180.0,7.0,Yes,,61.0,50.0,42.0,44.0,40.0,47.0,46.0,50.0,43.0,46.0,,,,,469.0,408.0,0.0,1.0,368.0,7.0,21.0,1.0,10.0,18.0,22,1,1,1,1,2,0.0,0.24,90.19,1.71,5.14,0.24,2.45,22.66,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"539 E LA PASADA BLVD,GOODYEAR,AZ",POINT (-112.3506932 33.4439243),['Avondale Elementary District']
243,A0100608,ST JOHN XXIII CATHOLIC SCHOOL COMMUNITY,2,13,16235 N 60TH ST,SCOTTSDALE,4013,13,AZ,4,85254,4809050939,180.0,7.25,Yes,,24.0,58.0,58.0,64.0,65.0,65.0,66.0,70.0,70.0,68.0,,,,,608.0,584.0,0.0,9.0,23.0,5.0,521.0,1.0,25.0,28.8,11,1,1,1,1,1,0.0,1.54,3.93,0.85,89.21,0.17,4.28,20.27,1,MARICOPA,National Catholic Educational Association (NCEA),Other religious school association(s),,,,,,,,,,,,,,"16235 N 60TH ST,SCOTTSDALE,AZ",POINT (-111.9512244 33.6345185),['Paradise Valley Unified District']
244,A1900148,ST JOSEPH CATHOLIC SCHOOL,3,3,215 S CRAYCROFT RD,TUCSON,4019,19,AZ,4,85711,5207473060,180.0,7.0,Yes,,,22.0,,,,,,,,,,,,,22.0,22.0,0.0,0.0,17.0,1.0,4.0,0.0,0.0,13.6,11,1,7,1,1,1,0.0,0.0,77.27,4.54,18.18,0.0,0.0,1.61,1,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"215 S CRAYCROFT RD,TUCSON,AZ",POINT (-110.8744715 32.2194541),['Tucson Unified District']
245,31458,ST LOUIS THE KING SCHOOL,2,13,4331 W MARYLAND AVE,GLENDALE,4013,13,AZ,4,85301,6239394264,180.0,7.25,Yes,,17.0,13.0,22.0,24.0,20.0,22.0,23.0,18.0,28.0,26.0,,,,,213.0,196.0,5.0,40.0,129.0,16.0,4.0,0.0,2.0,11.6,21,1,1,1,1,2,2.55,20.4,65.81,8.16,2.04,0.0,1.02,16.89,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"4331 W MARYLAND AVE,GLENDALE,AZ",POINT (-112.1525652 33.5304174),['Alhambra Elementary District']
246,A9703929,ST MARKS EARLY CHILDHOOD CENTER,2,3,1431 W MAGEE RD,TUCSON,4019,19,AZ,4,85704,5207972925,175.0,5.0,Yes,,40.0,12.0,,,,,,,,,,,,,52.0,12.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.9,21,1,7,1,2,2,0.0,0.0,8.33,0.0,91.66,0.0,0.0,6.31,25,PIMA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"1431 W MAGEE RD,TUCSON,AZ",POINT (-110.9964887 32.3509527),['Amphitheater Unified District']
247,31301,ST MARY'S CATHOLIC HIGH SCHOOL,14,17,2525 N 3RD ST,PHOENIX,4013,13,AZ,4,85004,6022512503,180.0,6.75,Yes,,,,,,,,,,,,141.0,117.0,116.0,113.0,487.0,487.0,29.0,6.0,362.0,32.0,56.0,2.0,0.0,34.9,11,1,1,2,1,1,5.95,1.23,74.33,6.57,11.49,0.41,0.0,13.95,1,MARICOPA,National Catholic Educational Association (NCEA),Other special emphasis association(s),,,,,,,,,,,,,,"2525 N 3RD ST,PHOENIX,AZ",POINT (-112.0688917 33.4751092),"['Phoenix Union High School District', 'Phoenix Elementary District']"
248,31505,ST MARY-BASHA CATHOLIC SCHOOL,2,13,200 W GALVESTON ST,CHANDLER,4013,13,AZ,4,85225,4809634951,176.0,7.5,Yes,,33.0,28.0,32.0,39.0,40.0,29.0,48.0,51.0,42.0,48.0,,,,,390.0,357.0,3.0,2.0,120.0,1.0,212.0,4.0,15.0,33.9,11,1,1,1,1,1,0.84,0.56,33.61,0.28,59.38,1.12,4.2,10.53,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"200 W GALVESTON ST,CHANDLER,AZ",POINT (-111.8472076 33.3144448),['Chandler Unified District']
249,A9300033,ST MICHAEL'S PARISH DAY SCHOOL,3,13,602 N WILMOT RD,TUCSON,4019,19,AZ,4,85711,5207228478,174.0,7.5,No,,,21.0,27.0,29.0,28.0,30.0,36.0,35.0,31.0,33.0,,,,,270.0,270.0,0.0,10.0,73.0,11.0,176.0,0.0,0.0,34.5,11,1,1,1,2,1,0.0,3.7,27.03,4.07,65.18,0.0,0.0,7.82,14,PIMA,National Association of Episcopal Schools (NAES),Other religious school association(s),State or regional independent school association,,,,,,,,,,,,,"602 N WILMOT RD,TUCSON,AZ",POINT (-110.8571226 32.2285463),['Tucson Unified District']
250,32961,ST MICHAELS ASSOC FOR SP ED,12,17,PO BOX 100,SAINT MICHAELS,4001,1,AZ,4,86511,9288712810,217.0,7.0,No,1.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,4.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41,1,4,2,3,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,30,APACHE,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"PO BOX 100,SAINT MICHAELS,AZ",POINT (-109.0956492 35.6447402),['Window Rock Unified District']
251,A0100636,ST PETER'S EPISCOPAL MONTESSORI SCHOOL,3,11,400 S OLD LITCHFIELD RD,LITCHFIELD PARK,4013,13,AZ,4,85340,6239357737,180.0,7.0,No,,,14.0,5.0,5.0,6.0,1.0,,1.0,,,,,,,32.0,32.0,0.0,2.0,10.0,2.0,16.0,0.0,2.0,4.0,22,1,2,1,2,2,0.0,6.25,31.25,6.25,50.0,0.0,6.25,8.0,14,MARICOPA,Other religious school association(s),Association Montessori International (AMI),,,,,,,,,,,,,,"400 S OLD LITCHFIELD RD,LITCHFIELD PARK,AZ",POINT (-112.3594127 33.4877995),"['Agua Fria Union High School District', 'Litchfield Elementary District']"
252,31298,ST THERESA CATHOLIC SCHOOL,2,13,5001 E THOMAS RD,PHOENIX,4013,13,AZ,4,85018,6028400010,180.0,7.0,Yes,,25.0,58.0,41.0,38.0,36.0,29.0,34.0,35.0,41.0,45.0,,,,,382.0,357.0,0.0,4.0,38.0,4.0,281.0,0.0,30.0,31.4,11,1,1,1,1,1,0.0,1.12,10.64,1.12,78.71,0.0,8.4,11.36,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"5001 E THOMAS RD,PHOENIX,AZ",POINT (-111.9727429 33.4789733),['Balsz Elementary District']
253,BB220032,ST THOMAS AQUINAS GRADE SCHOOL,3,13,13720 W THOMAS RD,AVONDALE,4013,13,AZ,4,85392,6239350945,,,,,,38.0,47.0,50.0,48.0,51.0,50.0,48.0,49.0,47.0,,,,,428.0,428.0,3.0,34.0,187.0,2.0,130.0,0.0,72.0,22.5,22,1,1,1,1,2,0.7,7.94,43.69,0.46,30.37,0.0,16.82,19.02,1,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"13720 W THOMAS RD,AVONDALE,AZ",POINT (-112.3555185 33.4805982),['Litchfield Elementary District']
254,31287,ST THOMAS THE APOSTLE SCHOOL,2,13,4510 N 24TH ST,PHOENIX,4013,13,AZ,4,85016,6029549088,185.0,7.0,No,,61.0,47.0,61.0,57.0,49.0,58.0,56.0,62.0,50.0,51.0,,,,,552.0,491.0,1.0,14.0,149.0,2.0,294.0,2.0,29.0,28.8,11,1,1,1,1,1,0.2,2.85,30.34,0.4,59.87,0.4,5.9,17.04,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"4510 N 24TH ST,PHOENIX,AZ",POINT (-112.0308315 33.5030752),['Madison Elementary District']
255,A0304005,ST TIMOTHY CATHOLIC SCHOOL,3,13,2520 S ALMA SCHOOL RD,MESA,4013,13,AZ,4,85210,4807752650,180.0,7.0,Yes,,,20.0,21.0,22.0,14.0,22.0,15.0,11.0,15.0,18.0,,,,,158.0,158.0,2.0,45.0,22.0,3.0,79.0,1.0,6.0,13.3,11,1,1,1,1,1,1.26,28.48,13.92,1.89,50.0,0.63,3.79,11.87,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"2520 S ALMA SCHOOL RD,MESA,AZ",POINT (-111.8600259 33.369292),['Mesa Unified District']
256,31276,ST VINCENT DE PAUL CATHOLIC ELEMENTARY SCHOOL,2,13,3130 N 51ST AVE,PHOENIX,4013,13,AZ,4,85031,6232478595,180.0,7.0,Yes,,32.0,41.0,54.0,45.0,41.0,57.0,56.0,52.0,61.0,56.0,,,,,495.0,463.0,1.0,1.0,450.0,1.0,8.0,0.0,2.0,22.0,11,1,1,1,1,1,0.21,0.21,97.19,0.21,1.72,0.0,0.43,21.04,1,MARICOPA,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,,"3130 N 51ST AVE,PHOENIX,AZ",POINT (-112.1702202 33.4860814),['Cartwright Elementary District']
257,BB220017,STRONG FOUNDATIONS ACADEMY,2,3,985 W CHANDLER HEIGHTS RD # 4,CHANDLER,4013,13,AZ,4,85248,4807383346,180.0,6.0,No,,52.0,9.0,,,,,,,,,,,,,61.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,11,1,7,1,3,1,0.0,0.0,0.0,0.0,22.22,0.0,77.77,9.0,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"985 W CHANDLER HEIGHTS RD # 4,CHANDLER,AZ",POINT (-111.8577435 33.232349),['Chandler Unified District']
258,A1970300,SUNRISE MONTESSORI SCHOOL SOUTH,2,3,14233 N 47TH AVE,GLENDALE,4013,13,AZ,4,85306,6028436053,172.0,6.0,No,,20.0,5.0,,,,,,,,,,,,,25.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,11,1,2,1,3,1,0.0,20.0,0.0,0.0,80.0,0.0,0.0,1.66,30,MARICOPA,School does not belong to ANY associations or organizations,,,,,,,,,,,,,,,"14233 N 47TH AVE,GLENDALE,AZ",POINT (-112.1594439 33.6154409),"['Glendale Union High School District', 'Washington Elementary District']"
